index,song_name,artist_name,album_names,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,id,link
82,Hijo de Su Madre,Omar Apollo,Stereo,0.61,0.09288016981602892,0.0646,0.8290000000000001,0.606,0.391,0.4545454545454546,0.281,0.7849478353530097,1,0.149,0.4871738789524509,0.8,0.732,Hijo de Su MadreOmar Apollo,
83,Lento,Rudy Mancuso,Lento,0.65,0.0879801672423806,0.149,0.8370000000000001,0.649,7.63e-05,1.0,0.10300000000000001,0.8303719673878026,0,0.192,0.6768048597297766,0.8,0.948,LentoRudy Mancuso,
84,Dicen,Matt Hunter,Dicen,0.77,0.11683580011928302,0.13699999999999998,0.8170000000000001,0.635,7.85e-06,0.4545454545454546,0.245,0.8189973484003668,0,0.138,0.4251809605559636,0.8,0.777,DicenMatt Hunter,
85,BEBE,6ix9ine,BEBE,0.95,0.11515509587958908,0.172,0.635,0.902,0.0,0.0,0.125,0.8725249671647709,1,0.109,0.4211944634736173,0.8,0.28600000000000003,BEBE6ix9ine,
86,I Like It,Cardi B,Invasion of Privacy,0.95,0.13505499215037267,0.099,0.816,0.726,0.0,0.4545454545454546,0.3720000000000001,0.8616459742770054,0,0.129,0.5614440528561642,0.8,0.65,I Like ItCardi B,
87,Zooted (feat. French Montana & Farruko),Becky G,Zooted (feat. French Montana & Farruko),0.74,0.11505998279012568,0.267,0.815,0.626,1.31e-05,0.5454545454545454,0.275,0.8333705052908087,1,0.10300000000000001,0.4539035482300118,0.8,0.5710000000000001,Zooted (feat. French Montana & Farruko)Becky G,
88,Havana - Remix,Camila Cabello,Havana (Remix),0.77,0.10467754984205632,0.39799999999999996,0.7509999999999999,0.579,2.2800000000000002e-05,0.18181818181818185,0.133,0.8607042846876316,1,0.0321,0.4334428313208264,0.8,0.349,Havana - RemixCamila Cabello,https://www.youtube.com/watch?v=qooQd8AA7_M
89,Pum Pum,Sammi Sanchez,Pum Pum,0.45,0.0972072558978508,0.0749,0.736,0.9059999999999999,0.000123,0.3636363636363637,0.12,0.9237974871756748,0,0.0566,0.38384684588020707,0.8,0.611,Pum PumSammi Sanchez,
90,Quiero Saber,Jesse Baez,Quiero Saber,0.52,0.08630281993525596,0.00245,0.695,0.818,3.36e-06,0.5454545454545454,0.305,0.8236314524322851,0,0.0482,0.4249622397015492,0.8,0.599,Quiero SaberJesse Baez,
91,Como,Kim Viera,Como,0.38,0.12441519437199065,0.00323,0.5429999999999999,0.847,0.0,0.8181818181818182,0.0551,0.8721532475900181,1,0.0659,0.3798562219892868,0.8,0.65,ComoKim Viera,
92,Anywhere Contigo,Breakfast n Vegas,Anywhere Contigo,0.46,0.10174079333268432,0.271,0.841,0.841,2.6000000000000002e-05,0.8181818181818182,0.10800000000000001,0.8544593958317845,1,0.0633,0.42922935976691773,0.8,0.823,Anywhere ContigoBreakfast n Vegas,
93,No Gratis,Messiah,No Gratis,0.44,0.11010738827289177,0.425,0.777,0.546,0.0,0.6363636363636364,0.0809,0.7252001090377419,1,0.207,0.6073547982403288,0.8,0.9520000000000001,No GratisMessiah,
94,Díganle - Tainy Remix,Leslie Grace,Díganle (Tainy Remix),0.75,0.11158276013709713,0.102,0.84,0.789,0.0,0.09090909090909093,0.309,0.8443734047034916,0,0.0949,0.3797406713492188,0.8,0.619,Díganle - Tainy RemixLeslie Grace,
95,Sangria Wine,Pharrell Williams,Sangria Wine,0.75,0.1067801086079584,0.18100000000000002,0.831,0.713,0.0,0.09090909090909093,0.0572,0.8703689936312047,0,0.094,0.5451885538837395,0.8,0.69,Sangria WinePharrell Williams,
96,All Day,DaniLeigh,Summer With Friends,0.45,0.10428087231011793,0.0797,0.825,0.48100000000000004,0.0,0.18181818181818185,0.239,0.7476024087428444,1,0.0396,0.4995336706311541,0.8,0.7609999999999999,All DayDaniLeigh,
97,Just As I Am,Spiff TV,Just As I Am,0.53,0.11884268630696015,0.235,0.682,0.7509999999999999,0.0,0.7272727272727273,0.11,0.8166926870368993,0,0.0675,0.5362251256613211,0.8,0.708,Just As I AmSpiff TV,
98,Nice & Slow,Nina Sky,Nice & Slow,0.38,0.1155053358443189,0.006940000000000001,0.799,0.616,0.00237,0.4545454545454546,0.28300000000000003,0.8467524099819097,0,0.0415,0.5241996054771003,0.8,0.6970000000000001,Nice & SlowNina Sky,
99,Scooby Doo Pa Pa (Remix),Dj Kass,Scooby Doo Pa Pa (Remix) - Single,0.6,0.09214891800468404,0.196,0.9209999999999999,0.965,0.00020099999999999998,0.09090909090909093,0.32299999999999995,0.9261269298441256,1,0.17800000000000002,0.4989394101965186,0.8,0.507,Scooby Doo Pa Pa (Remix)Dj Kass,
100,Don't Werk,Paula DeAnda,Don't Werk,0.39,0.06776527879884478,0.10800000000000001,0.703,0.617,5.610000000000002e-05,0.6363636363636364,0.271,0.7443312764850196,1,0.0731,0.508253617147715,0.8,0.435,Don't WerkPaula DeAnda,
101,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",0.88,0.10603766702138256,0.165,0.792,0.895,0.0,0.09090909090909093,0.0501,0.8836022104924045,0,0.0589,0.3919147566420984,0.8,0.794,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)Sofia Reyes",
102,Pa Mi (with Ozuna),Tory Lanez,Pa Mi (with Ozuna),0.77,0.11452119511275374,0.0983,0.596,0.557,0.0,0.09090909090909093,0.0565,0.7743166555150794,0,0.134,0.5498848620407895,1.0,0.6609999999999999,Pa Mi (with Ozuna)Tory Lanez,
103,Lo Siento,SUPER JUNIOR,REPLAY - The 8th Repackage Album,0.68,0.11983298141490233,0.0705,0.746,0.738,0.0,0.8181818181818182,0.043,0.8697742423116002,1,0.207,0.3912544672702812,0.8,0.63,Lo SientoSUPER JUNIOR,
104,Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,Nuestra Cancion Pt. 2 (feat. Arcángel),0.46,0.11357789706078175,0.0079,0.493,0.825,0.0,0.7272727272727273,0.129,0.8602086585879613,1,0.0798,0.4121278650368524,0.8,0.621,Nuestra Cancion Pt. 2 (feat. Arcángel)Snow Tha Product,
